Schlüssel|Zeitstand|Planungsraumnummer|Einwohnerstand|Status 4: Kinderarmut|Kommentar
12400722|202012|12400722|8.608|4,149|gültig
12400723|202012|12400723|8.118|6,446|gültig
12500824|202012|12500824|9.665|13,202|gültig
12500825|202012|12500825|6.750|24,223|gültig
12500926|202012|12500926|5.065|28,285|gültig
12500927|202012|12500927|6.434|20,685|gültig
12500928|202012|12500928|5.166|12,254|gültig
12500929|202012|12500929|5.160|4,255|gültig
12500930|202012|12500930|9.936|30,379|gültig
12601031|202012|12601031|3.310|21,498|gültig
12601032|202012|12601032|5.922|65,221|gültig
12601133|202012|12601133|11.610|54,349|gültig
12601134|202012|12601134|14.722|51,528|gültig
12601235|202012|12601235|10.656|52,524|gültig
12601236|202012|12601236|3.131|19,43|gültig
